id,cn,l,l160,l320,prov,can,organic,grass,btest,bfree,rp
197,-1.42184572223654,4.104085367399839,3.869155958805292,3.244005472027278,5.218690470830351,4.507606261540715,-.2799623678831787,-.4373345979203606,1.250760171647856,3.082816530264568,1
199,-17.72604825424947,5.780624289358704,4.351886450122,2.617397783234288,5.296306040315911,4.475803193174733,3.279646763023355,2.264387775392354,1.289938144976575,4.375805736060281,1
203,-1.263464341288589,4.177398180575367,3.856417777762712,3.168137120874968,5.173355309980836,4.514796877988462,-.1056255995188349,-.3873293507402549,1.222651252791042,3.173628509649899,1
205,-7.109047517964217,4.036138490266755,3.914639276503936,3.376350394634413,5.22425942045479,4.450662497016611,-.8610174670208981,-2.026138947144174,1.481988021224494,2.832343203386277,1
206,-11.08066815953407,3.92857205927444,3.73816529848159,3.745594660720078,5.243657041203321,4.491100345166955,-2.25436865763319,1.228288574623359,1.136131338016864,2.050322987482385,1
208,-17.85942164810729,5.137430684052715,4.084527773752987,3.255074610169461,5.128637829187002,4.554453919075387,1.69319501241543,2.27946208771104,2.867000322865179,.7569886466599914,1
210,.0984495037247102,5.410711001645361,3.770564412839019,3.442416576211753,5.210198527177226,4.486035957663513,-1.45270314087024,-.1347591323912238,1.085426042737985,3.475945160868999,1
211,4.507855026916625,4.185091098386382,3.983690850566357,3.366794502215272,5.247639681005329,4.454461083599225,-.5532403903748043,.4484750205351069,1.272512462800324,2.486552850906885,1
215,-17.991697482693,3.939111668401972,3.953892458849919,4.431230644100737,5.24773770464887,4.421126454388435,-3.527971628047428,2.421316428988457,1.616191116295601,1.930970618224124,1
219,-18.59903341011497,4.357824572472897,3.826104621721175,3.539325335352134,5.259732060952907,4.477063129029339,-1.417868572146598,.9486965946450667,1.542220473502135,2.21916290055923,1
222,-18.73023142887498,4.079463092318825,4.312703889013723,2.904911427657672,5.333589125728414,4.420189815285487,-1.186265392514855,.3936225768178816,1.207998042899793,6.498887595360018,1
223,-18.49186486751596,4.992030577909238,3.981686805079505,3.011207691051739,5.187081503331139,4.490770787174976,2.817367990765643,1.036510534112764,1.967630700241984,2.487667477941722,1
224,-18.93862469372618,3.526056443697692,4.226821383977788,3.213774639346673,5.438396431777222,4.467728021799577,1.220361106616649,-.6109643100219687,2.297529022921752,1.407097395632511,1
228,-10.71807908337988,4.720921103165417,3.812117809193321,3.593237413985709,5.320221707800655,4.486834949621995,-.536184878660144,-.0996244862508261,1.78582221113795,2.921143301245089,1
229,-19.53656729472999,3.378300307663535,4.14173525308003,3.524293594629557,5.413553735445521,4.447717507570124,.6648081256880926,-.3569166145556787,1.361488298718774,2.696414997399203,1
231,-.9100483802670493,3.964517769990695,4.052518421267979,3.406279792536912,5.178941083146018,4.492275470062816,-2.125103984621791,.8597035228830784,1.333436361558054,3.131631750843378,1
232,-.6365434991451842,4.141612065820775,3.930526544510802,3.42095692430644,5.227741430254694,4.432621627784534,-2.191627254445421,.9315238215395907,1.258954194191813,3.226921400639696,1
235,-17.93406271494754,4.945138018695379,3.907692632426833,2.952619821692798,5.350947340282573,4.446895096519958,1.507981501718921,2.296669330491663,1.483356623893898,2.569118011762898,1
238,-18.10435767037836,4.389801981881794,3.822733548417182,2.936470638410455,5.424431471559919,4.440055879904444,.5456540396231521,2.057621304130524,2.132173280316367,3.75733351337361,1
240,-16.93483196107076,3.777151475528689,4.365035593724982,3.252741441194605,5.254002174146475,4.480937631005544,4.523134664376575,1.159079875557181,1.696001294936157,1.855915042644873,1
241,-18.26249188176676,4.515655477855123,4.044219730802951,3.38683756831611,5.259471592590168,4.496546793782399,-2.332190915874572,2.166975403269593,1.674396877328163,2.819594857375136,1
244,-12.35558965020373,3.971352167291306,3.999225068635608,3.561322796531899,5.245817507049666,4.461603752683946,1.36682194658465,1.652411174131259,1.616292483557946,2.246467777316139,1
248,-18.21539997651765,5.331610072902373,4.075430292228079,3.463551729977434,5.157273474285495,4.465185438698023,.1227968392986093,-.5946208631804341,1.768970325956636,1.50183475578192,1
249,-11.9370095950781,3.859737673922848,3.668948495469821,3.289030432859352,5.318879890449018,4.438395135432614,-4.311952194308612,1.181408299673544,1.851395436989771,3.254302765012308,1
250,-18.28540595425147,3.968297455932638,4.002768899055764,3.794676362164263,5.207334260005589,4.483909893118579,-1.070843088955603,1.167721317720186,.9442609716723385,3.273220166011982,1
251,-19.15966451301697,4.48175218783635,3.983382614442939,2.617502392328542,5.178168565892494,4.477911805129581,1.812928605209736,-.5467291131498641,2.063632907986287,3.122834599492311,1
